MO_ULR18_,MO_ULR18_I,CODIGO_VEN,COD_VEN,CLASE_U,DEST,DESTA,DESTAA,DESTAAA,FUENTE,PROFILE_ID,ID_REALA,ID_REALA_NUM,POINT_X,POINT_Y
109,109,40,40 VEN 1959 BO 1,,Oxisoles,Udox,Hapludox,Typic Hapludox,INIA,40 VEN 1959 BO 1,40,52,-62.92944644540,8.10259446622
110,110,41,41 VEN 1959 BO 2,,,,,,INIA,41 VEN 1959 BO 2,41,53,-62.39937508810,7.94197929370
111,111,42,42 VEN 1959 BO 3,,Ultisoles,,,,INIA,42 VEN 1959 BO 3,42,54,-62.06206080460,8.01694382836
112,112,43,43 VEN 1959 BO 4,,Ultisoles,,,,INIA,43 VEN 1959 BO 4,43,55,-61.91035641990,7.94734218405
113,113,304,304 VEN 1959 BO 10,,Oxisoles,Ustox,Haplustox,,INIA,304 VEN 1959 BO 10,304,56,-61.88357733700,7.52257938839
114,114,308,308 VEN 1959 BO 14,,Sin_informa,,,,INIA,308 VEN 1959 BO 14,308,57,-61.80147612640,7.37623425294
115,115,310,310 VEN 1960 BO 16,,Sin_informa,,,,INIA,310 VEN 1960 BO 16,310,58,-61.53733007040,7.14957963825
116,116,305,305 VEN 1959 BO 11,,Oxisoles,Udox,Hapludox,,INIA,305 VEN 1959 BO 11,305,59,-61.64440747170,6.76050928084
117,117,309,309 VEN 1960 BO 15,,Sin_informa,,,,INIA,309 VEN 1960 BO 15,309,60,-61.41059942230,6.40000072133
123,123,6,6 VEN 1959 CA 1,,Oxisoles,,,,INIA,6 VEN 1959 CA 1,6,61,-68.05228471250,10.12599363790
138,138,927,927 VEN 1988 CA 34,IV,Ultisoles,Ustults,Paleustults,Typic Paleustults,INIA,927 VEN 1988 CA 34,927,62,-68.39438399130,10.14231187930
151,151,8,8 VEN 1959 CO 1,,Ultisoles,Ustults,,,INIA,8 VEN 1959 CO 1,8,63,-68.25088644950,9.46871987911
183,183,16,16 VEN 1959 GU 9,,,,,,INIA,16 VEN 1959 GU 9,16,64,-67.42332621940,8.93052740538
187,187,365,365 VEN 1964 GU 33,IV,,,,,INIA,365 VEN 1964 GU 33,365,65,-67.43534903350,8.91544301312
188,188,363,363 VEN 1964  GU 31,IV,Alfisoles,Ustalfs,Haplustalfs,Udic Haplustalfs,INIA,363 VEN 1964  GU 31,363,66,-67.54934494220,8.86011954435
