MO_ULR18_,MO_ULR18_I,CODIGO_VEN,COD_VEN,CLASE_U,DEST,DESTA,DESTAA,DESTAAA,FUENTE,PROFILE_ID,ID_REALA,ID_REALA_NUM,POINT_X,POINT_Y
387,387,606,606 VEN 1970 PO 101,III,Alfisoles,Ustalfs,Haplustalfs,Aquic Haplustalfs,INIA,606 VEN 1970 PO 101,606,173,-69.38197384860,9.30187570436
388,388,622,622 VEN 1970 PO 117,IV,Entisoles,Fluvents,Ustifluvents,Aquic Ustifluvents,INIA,622 VEN 1970 PO 117,622,174,-69.47238242660,9.32990788700
389,389,602,602 VEN 1970 PO 97,III,Ultisoles,Ustults,Haplustults,Typic Haplustults,INIA,602 VEN 1970 PO 97,602,175,-69.47448519480,9.34532575623
390,390,604,604 VEN 1970 PO 99,III,Alfisoles,Aqualfs,Endoaqualfs,Typic Endoaqualfs,INIA,604 VEN 1970 PO 99,604,176,-69.43804141930,9.32920754587
391,391,630,630 VEN 1973 PO 125,III,Alfisoles,Ustalfs,Haplustalfs,Vertic Haplustalfs,INIA,630 VEN 1973 PO 125,630,177,-69.37496623690,9.35093409847
392,392,632,632 VEN 1973 PO 125,IV,Vertisoles,Usterts,Haplusterts,Udic Haplusterts,INIA,632 VEN 1973 PO 125,632,178,-69.36795773040,9.34813070199
393,393,605,605 VEN 1970 PO 100,IV,Alfisoles,Ustalfs,Haplustalfs,Udic Haplustalfs,INIA,605 VEN 1970 PO 100,605,179,-69.38477831220,9.37686487891
394,394,609,609 VEN 1970 PO 104,V,Entisoles,Fluvents,Ustifluvents,Typic Ustifluvents,INIA,609 VEN 1970 PO 104,609,180,-69.36936001260,9.39088165987
395,395,116,116 VEN 1961 PO 33,II,Inceptisoles,Tropepts,Ustropepts,Fluventic Ustropepts,INIA,116 VEN 1961 PO 33,116,181,-69.37426609970,9.39929139142
396,396,608,608 VEN 1970 PO 103,III,Mollisoles,Ustolls,Calciustolls,Vertic Calciustolls,INIA,608 VEN 1970 PO 103,608,182,-69.36360413930,9.42396657172
398,398,820,820 VEN 1985 PO 205,IV,Alfisoles,Ustalfs,Haplustalfs,Ultic Haplustalfs,INIA,820 VEN 1985 PO 205,820,183,-69.37004831700,9.42813666384
399,399,992,992  VEN 1990 PO 233,III,Inceptisoles,Tropepts,Ustropepts,Vertic Ustropepts,INIA,992  VEN 1990 PO 233,992,184,-69.24125229830,9.40654490739
400,400,991,991 VEN 1990 PO 232,III,Entisoles,Psamments,Ustipsamments,,INIA,991 VEN 1990 PO 232,991,185,-69.26617165090,9.33264354515
401,401,817,817 VEN 1985 PO 202,II,Inceptisoles,Tropepts,Ustropepts,Fluventic Ustropepts,INIA,817 VEN 1985 PO 202,817,186,-69.25671892320,9.32319096461
402,402,819,819 VEN 1985 PO 204,IV,Inceptisoles,Tropepts,Dystropepts,Typic Dystropepts,INIA,819 VEN 1985 PO 204,819,187,-69.24125405260,9.53458337159
403,403,821,821 VEN 1986 PO 206,II,Inceptisoles,Tropepts,Dystropepts,Vertic Dystropepts,INIA,821 VEN 1986 PO 206,821,188,-69.21203764980,9.57067459785
406,406,993,993 VEN 1990 PO 234,IV,Inceptisoles,Aquepts,Tropaquepts,Vertic Tropaquepts,INIA,993 VEN 1990 PO 234,993,189,-69.18453989230,9.61793757872
407,407,682,682 VEN 1975 PO 167,,Inceptisoles,Tropepts,Ustropepts,Fluventic Ustropepts,INIA,682 VEN 1975 PO 167,682,190,-69.18427125860,9.66679394810
408,408,683,683 VEN 1975 PO 168,,Mollisoles,Ustolls,Argiustolls,Aquic Argiustolls,INIA,683 VEN 1975 PO 168,683,191,-69.18286490880,9.66960652478
409,409,686,686 VEN 1975 PO 171,II,Entisoles,Aquents,Fluvaquents,Mollic Fluvaquents,INIA,686 VEN 1975 PO 171,686,192,-69.18005221190,9.66784813545
410,410,688,688 VEN 1975 PO 173,,Mollisoles,Ustolls,Haplustolls,Aquic Haplustolls,INIA,688 VEN 1975 PO 173,688,193,-69.17653636700,9.67048578861
411,411,689,689 VEN 1975 PO 174,V,Entisoles,Fluvents,Ustifluvents,Typic Ustifluvents,INIA,689 VEN 1975 PO 174,689,194,-69.17565737060,9.66696916248
412,412,679,679 VEN 1975 PO 165,III,Mollisoles,Ustolls,Haplustolls,Fluventic Haplustolls,INIA,679 VEN 1975 PO 165,679,195,-69.17284472550,9.66679428902
413,413,846,846 VEN 1986 PO 209,IV,Inceptisoles,Aquepts,Tropaquepts,Aeric Tropaquepts,INIA,846 VEN 1986 PO 209,846,196,-69.10693173170,9.64044572967
414,414,847,847 VEN 1986 PO 210,IV,Inceptisoles,Aquepts,Tropaquepts,Vertic Tropaquepts,INIA,847 VEN 1986 PO 210,847,197,-69.10314182760,9.64322500409
416,416,916,916 VEN 1988 PO 229,II,Mollisoles,Ustolls,Haplustolls,Typic Haplustolls,INIA,916 VEN 1988 PO 229,916,198,-69.03694463160,9.59850544896
419,419,862,862 VEN 1986 PO 222,III,Inceptisoles,Aquepts,Tropaquepts,Vertic Tropaquepts,INIA,862 VEN 1986 PO 222,862,199,-69.08876993210,9.50424839159
420,420,876,876 VEN 1987 PO 226,,Sin_informa,,,,INIA,876 VEN 1987 PO 226,876,200,-69.09666524960,9.49358996562
422,422,972,972 VEN 1989 PO 231,III,Inceptisoles,Tropepts,Ustropepts,Typic Ustropepts,INIA,972 VEN 1989 PO 231,972,201,-69.07811063780,9.49043151432
424,424,864,864 VEN 1986 PO 224,III,Inceptisoles,Aquepts,Tropaquepts,Aeric Tropaquepts,INIA,864 VEN 1986 PO 224,864,202,-69.03350006580,9.45134953994
425,425,814,814 VEN 1985 PO 201,III,Inceptisoles,Tropepts,Ustropepts,Typic Ustropepts,INIA,814 VEN 1985 PO 201,814,203,-69.01770835710,9.41660932056
428,428,818,818 VEN 1985 PO 203,IV,Inceptisoles,Aquepts,Tropaquepts,Vertic Tropaquepts,INIA,818 VEN 1985 PO 203,818,204,-68.99124012800,9.25718184056
430,430,265,265 VEN 1963 PO 59,,Sin_informa,,,,INIA,265 VEN 1963 PO 59,265,205,-68.99426006560,9.15646984688
431,431,813,813 VEN 1985 PO 200,I,Mollisoles,Ustolls,Haplustolls,Fluventic Haplustolls,INIA,813 VEN 1985 PO 200,813,206,-69.04763781650,9.13934778347
432,432,264,264 VEN 1963 PO 58,,Sin_informa,,,,INIA,264 VEN 1963 PO 58,264,207,-68.98217302960,9.05475075936
433,433,668,668 VEN 1974 PO 153,III,Inceptisoles,Aquepts,Tropaquepts,Vertic Tropaquepts,INIA,668 VEN 1974 PO 153,668,208,-68.83204463490,8.90438949756
434,434,670,670 VEN 1974 PO 155,III,Inceptisoles,Aquepts,Tropaquepts,Vertic Tropaquepts,INIA,670 VEN 1974 PO 155,670,209,-68.82796893780,8.90076688026
435,435,677,677 VEN 1974 PO 162,VI,Vertisoles,Usterts,Haplusterts,Udic Haplusterts,INIA,677 VEN 1974 PO 162,677,210,-68.82242148980,8.90235184861
436,436,678,678 VEN 1974 PO 163,I,Inceptisoles,Tropepts,Ustropepts,Aquic Ustropepts,INIA,678 VEN 1974 PO 163,678,211,-68.82038365370,8.90778640994
437,437,672,672 VEN 1974 PO 157,II,Inceptisoles,Tropepts,Ustropepts,Aquic Ustropepts,INIA,672 VEN 1974 PO 157,672,212,-68.81227258940,8.85351028747
438,438,673,673 VEN 1974 PO 158,IV,Vertisoles,Usterts,Haplusterts,Typic Haplusters,INIA,673 VEN 1974 PO 158,673,213,-68.80729744180,8.85489191191
439,439,678,678 VEN 1974 PO 161,I,Inceptisoles,Tropepts,Ustropepts,Aquic Ustropepts,INIA,678 VEN 1974 PO 161,678,214,-68.80370412620,8.85157517012
443,443,651,651 VEN 1973 PO 144,IV,Inceptisoles,Aquepts,Tropaquepts,Vertic Tropaquepts,INIA,651 VEN 1973 PO 144,651,215,-69.65267172200,8.97226516625
445,445,148,148 VEN 1961 PO 43,IV,Inceptisoles,Aquepts,Tropaquepts,Vertic Tropaquepts,INIA,148 VEN 1961 PO 43,148,216,-69.74373644720,8.93406646952
452,452,180,180 VEN 1962 PO 50,,Sin_informa,,,,INIA,180 VEN 1962 PO 50,180,217,-69.83025937730,9.09020703317
453,453,232,232 VEN 1963 PO 57,,Sin_informa,,,,INIA,232 VEN 1963 PO 57,232,218,-69.61564518500,8.96347134039
454,454,607,607 VEN 1970 PO 102,III,Alfisoles,Ustalfs,Haplustalfs,Lithic Haplustalfs,INIA,607 VEN 1970 PO 102,607,219,-69.53062604750,9.24757105603
455,455,621,621 VEN 1970 PO 116,VI,Entisoles,Psamments,Ustipsamments,Typic Ustipsamments,INIA,621 VEN 1970 PO 116,621,220,-69.44528765010,9.22205560971
456,456,52,52 VEN 1960 PO 7,,Sin_informa,,,,INIA,52 VEN 1960 PO 7,52,221,-68.97753672990,9.45695116542
465,465,354,354 VEN 1964 SU 15,IV,Mollisoles,Rendolls,Typic Rendolls,,INIA,354 VEN 1964 SU 15,354,222,-63.45686048360,10.47535086340
466,466,355,355 VEN 1966 SU 16,IV,Entisoles,Aquents,Fluvaquents,Mollic Fluvaquents,INIA,355 VEN 1966 SU 16,355,223,-63.42463700580,10.50620331720
467,467,356,356 VEN 1964 SU 17,,,,,,INIA,356 VEN 1964 SU 17,356,224,-63.38967129370,10.52608725270
474,474,351,351 VEN 1964 SU 12,V,Entisoles,Aquents,Hydraquents,,INIA,351 VEN 1964 SU 12,351,225,-63.60540582610,10.49650957330
475,475,352,352 VEN 1964 SU 13,IV,Entisoles,Aquents,Hydraquents,,INIA,352 VEN 1964 SU 13,352,226,-63.60312089980,10.49693789970
476,476,353,353 VEN 1964 SU 14,III,Entisoles,Aquents,Psammaquents,Typic Psammaquents,INIA,353 VEN 1964 SU 14,353,227,-63.60040752780,10.49736633310
477,477,918,918 VEN 1976 SU 18,IV,Inceptisoles,Aquepts,Halaquepts,Aeric Halaquepts,INIA,918 VEN 1976 SU 18,918,228,-62.59996396470,10.57284380670
478,478,919,919 VEN 1976 SU 19,III,Alfisoles,Ustalfs,Haplustalfs,Ultic Haplustalfs,INIA,919 VEN 1976 SU 19,919,229,-62.59530650280,10.56958332470
479,479,920,920 VEN 1976 SU 20,II,Inceptisoles,Tropepts,Ustropepts,Typic Ustropepts,INIA,920 VEN 1976 SU 20,920,230,-62.58831978020,10.56911682210
480,480,921,921 VEN 1976 SU 21,II,Inceptisoles,Tropepts,Ustropepts,Typic Ustropepts,INIA,921 VEN 1976 SU 21,921,231,-62.58133298490,10.57098029490
489,489,950,950 VEN 1988 TA 36,VII,Ultisoles,Udults,Hapludults,Typic Hapludults,INIA,950 VEN 1988 TA 36,950,232,-72.44010923360,7.64145526242
490,490,956,956 VEN 1988 TA 42,VII,Ultisoles,Humults,Haplohumults,Typic Haplohumults,INIA,956 VEN 1988 TA 42,956,233,-72.43782637110,7.57400109210
491,491,955,955 VEN 1988 TA 41,VIII,Inceptisoles,Tropepts,Dystropepts,Typic Dystropepts,INIA,955 VEN 1988 TA 41,955,234,-72.43086268470,7.56851470502
492,492,953,953 VEN 1988 TA 39,VII,Inceptisoles,Tropepts,Dystropepts,Typic Dystropepts,INIA,953 VEN 1988 TA 39,953,235,-72.44647868070,7.55564173093
493,493,948,948 VEN 1988 TA 34,VI,Inceptisoles,Tropepts,Humitropepts,Typic Humitropepts,INIA,948 VEN 1988 TA 34,948,236,-72.44247931380,7.55239629401
494,494,949,949 VEN 1988 TA 35,VII,Inceptisoles,Tropepts,Dystropepts,Typic Dystropepts,INIA,949 VEN 1988 TA 35,949,237,-72.44205854870,7.55127541641
495,495,951,951 VEN 1988 TA 37,VI,Inceptisoles,Tropepts,Dystropepts,Typic Dystropepts,INIA,951 VEN 1988 TA 37,951,238,-72.44149801810,7.55029390679
496,496,952,952 VEN 1988 TA 38,IV,Vertisoles,Uderts,Hapluderts,Entic Hapluderts,INIA,952 VEN 1988 TA 38,952,239,-72.44107725140,7.54917246198
497,497,946,946 VEN 1988 TA 32,VI,Ultisoles,Udults,Hapludults,Typic Hapludults,INIA,946 VEN 1988 TA 32,946,240,-72.43841412200,7.54328504508
498,498,947,947 VEN 1988 TA 33,VI,Ultisoles,Udults,Hapludults,Typic Hapludults,INIA,947 VEN 1988 TA 33,947,241,-72.43869409810,7.54160304495
499,499,945,945 VEN 1988 TA 31,VI,Ultisoles,Ustults,Haplustults,Typic Haplustults,INIA,945 VEN 1988 TA 31,945,242,-72.43953549180,7.53375332547
500,500,944,944 VEN 1988 TA 30,VII,Ultisoles,Udults,Hapludults,Typic Hapludults,INIA,944 VEN 1988 TA 30,944,243,-72.43743257280,7.52828631406
501,501,954,954 VEN 1988 TA 40,VII,Ultisoles,Udults,Hapludults,Typic Hapludults,INIA,954 VEN 1988 TA 40,954,244,-72.43813371020,7.52295939887
503,503,690,690 VEN 1976 TA 07,VI,Alfisoles,Udalfs,Paleudalfs,Typic Paleudalfs,INIA,690 VEN 1976 TA 07,690,245,-72.38341996020,7.65999989907
504,504,692,692 VEN 1976 TA 08,III,Mollisoles,Udolls,Hapludolls,Typic Hapludolls,INIA,692 VEN 1976 TA 08,692,246,-72.38307653620,7.66188827136
505,505,696,696 VEN 1976 TA 12,III,Ultisoles,Udults,Hapludults,Typic Hapludults,INIA,696 VEN 1976 TA 12,696,247,-72.37930041810,7.66137317876
506,506,697,697 VEN 1976 TA 13,IV,Mollisoles,Udolls,Hapludolls,Lithic Hapludolls,INIA,697 VEN 1976 TA 13,697,248,-72.37758358030,7.66223127056
507,507,13,13 B 1976 TA,V,Sin_informa,,,,INIA,13 B 1976 TA,13,249,-72.37629616210,7.66317571961
508,508,823,823 VEN 1985 TA 26,VI,Ultisoles,Udults,Hapludults,Typic Hapludults,INIA,823 VEN 1985 TA 26,823,250,-72.23103627020,7.78032858118
509,509,802,802 VEN 1982 TA 15,,Alfisoles,Udalfs,Rhodudalfs,Typic Rhodudalfs,INIA,802 VEN 1982 TA 15,802,251,-72.19314717890,7.80319309891
510,510,804,804 VEN 1982 TA 17,,Inceptisoles,Tropepts,Humitropepts,Typic Humitropepts,INIA,804 VEN 1982 TA 17,804,252,-72.20164020910,7.86851883452
513,513,806,806 VEN 1982 TA 19,,Ultisoles,Humults,Haplohumults,Typic Haplohumults,INIA,806 VEN 1982 TA 19,806,253,-72.18204274940,7.91882012182
514,514,807,807 VEN 1982 TA 20,,Ultisoles,Humults,Haplohumults,Typic Haplohumults,INIA,807 VEN 1982 TA 20,807,254,-72.18465600920,7.92469935859
515,515,808,808 VEN 1982 TA 21,,Spodosoles,Humods,Placohumods,Typic Placohumods,INIA,808 VEN 1982 TA 21,808,255,-72.26370264720,8.04097881296
516,516,812,812 VEN 1982 TA 25,VI,Spodosoles,Humods,Placohumods,Typic Placohumods,INIA,812 VEN 1982 TA 25,812,256,-72.26174253760,8.04555154883
517,517,809,809 VEN 1982 TA 22,,Ultisoles,Humults,Haplohumults,Typic Haplohumults,INIA,809 VEN 1982 TA 22,809,257,-72.09646531280,7.96585551431
518,518,19,19 VEN 1959 TA 03,VI,Ultisoles,Humults,Haplohumults,Typic Haplohumults,INIA,19 VEN 1959 TA 03,19,258,-72.07752055480,7.96128278124
519,519,810,810 VEN 1982 TA 23,,Ultisoles,Humults,Haplohumults,Typic Haplohumults,INIA,810 VEN 1982 TA 23,810,259,-71.88219469720,8.07103278304
520,520,857,857 VEN 1978 TA 27,VI,Inceptisoles,Umbrepts,Aplumbrepts,Typic Haplumbrepts,INIA,857 VEN 1978 TA 27,857,260,-71.91020445570,8.29602461532
521,521,858,858 VEN 1978 TA 28,III,Inceptisoles,Umbrepts,Aplumbrepts,Pachic Haplumbrepts,INIA,858 VEN 1978 TA 28,858,261,-71.90903404650,8.29797520457
522,522,859,859 VEN 1978 TA 29,III,Inceptisoles,Umbrepts,Aplumbrepts,Typic Haplumbrepts,INIA,859 VEN 1978 TA 29,859,262,-71.90734339040,8.29966569955
523,523,811,811 VEN 1982 TA 24,,Vertisoles,Usterts,Haplusterts,Typic Haplusters,INIA,811 VEN 1982 TA 24,811,263,-71.88005369400,8.06913603177
534,534,84,84 VEN 1961 TR 1,,Entisoles,Orthents,,,INIA,84 VEN 1961 TR 1,84,264,-70.78808023190,9.52364991868
535,535,85,85 VEN 1961 TR 2,,Entisoles,Orthents,,,INIA,85 VEN 1961 TR 2,85,265,-70.77184196040,9.49940277270
536,536,86,86 VEN 1961 TR 3,,Entisoles,Orthents,,,INIA,86 VEN 1961 TR 3,86,266,-70.74412999010,9.52494939216
540,540,915,915 VEN 1988 YA 38,I,Inceptisoles,Tropepts,Ustropepts,Typic Ustropepts,INIA,915 VEN 1988 YA 38,915,267,-69.02819497600,10.11575526260
541,541,903,903 VEN 1988 YA 37,III,Alfisoles,Ustalfs,Haplustalfs,Typic Haplustalfs,INIA,903 VEN 1988 YA 37,903,268,-69.02370177000,10.11440717950
542,542,902,902 VEN 1988 YA 36,II,Inceptisoles,Tropepts,Ustropepts,Fluventic Ustropepts,INIA,902 VEN 1988 YA 36,902,269,-68.99269922030,10.15664360480
543,543,841,841 VEN 1965 YA 28,IV,Entisoles,Fluvents,Ustifluvents,Typic Ustifluvents,INIA,841 VEN 1965 YA 28,841,270,-68.98236487380,10.16158663260
544,544,901,901 VEN 1988 YA 35,VII,Inceptisoles,Tropepts,Ustropepts,Typic Ustropepts,INIA,901 VEN 1988 YA 35,901,271,-68.96843583870,10.16338341820
545,545,900,900 VEN 1988 YA 34,V,Ultisoles,Ustults,Kanhaplustults,Typic Kanhaplustults,INIA,900 VEN 1988 YA 34,900,272,-68.95765223950,10.16697818830
546,546,831,831 VEN 1965 YA 18,I,Mollisoles,Ustolls,Calciustolls,Typic Calciustolls,INIA,831 VEN 1965 YA 18,831,273,-68.89936471370,10.15245552570
547,547,842,842 VEN 1965 YA 29,IV,Alfisoles,Ustalfs,Haplustalfs,Udic Haplustalfs,INIA,842 VEN 1965 YA 29,842,274,-68.90622944260,10.12622100830
548,548,844,844 VEN 1965 YA 31,III,Inceptisoles,Aquepts,Tropaquepts,Vertic Tropaquepts,INIA,844 VEN 1965 YA 31,844,275,-68.90034514510,10.12842843330
549,549,827,827 VEN 1965 YA 38,II,Inceptisoles,Tropepts,Ustropepts,Vertic Ustropepts,INIA,827 VEN 1965 YA 38,827,276,-68.84395355870,10.12965470320
550,550,899,899 VEN 1988 YA 33,II,Inceptisoles,Tropepts,Ustropepts,Typic Ustropepts,INIA,899 VEN 1988 YA 33,899,277,-68.87827973840,10.18261325270
551,551,843,843 VEN 1965 YA 30,IV,Alfisoles,Ustalfs,Haplustalfs,Udic Haplustalfs,INIA,843 VEN 1965 YA 30,843,278,-68.79001389320,10.13480397950
553,553,61,61 VEN 1960 YA 04,,Sin_informa,,,,INIA,61 VEN 1960 YA 04,61,279,-68.82679248790,10.23410086670
554,554,833,833 VEN 1965 YA 20,II,Alfisoles,Ustalfs,Haplustalfs,Typic Haplustalfs,INIA,833 VEN 1965 YA 20,833,280,-68.79712506740,10.19438296800
555,555,825,825 VEN 1965 YA 12,IV,Alfisoles,Ustalfs,Haplustalfs,Udic Haplustalfs,INIA,825 VEN 1965 YA 12,825,281,-68.81404350340,10.26229660260
556,556,840,840 VEN 1965 YA 27,III,Entisoles,Fluvents,Ustifluvents,Typic Ustifluvents,INIA,840 VEN 1965 YA 27,840,282,-68.80693286580,10.22968882570
557,557,834,834 VEN 1965 YA 20,III,Alfisoles,Ustalfs,Haplustalfs,Aquic Haplustalfs,INIA,834 VEN 1965 YA 20,834,283,-68.77579454300,10.20762258290
559,559,829,829 VEN 1965 YA 16,II,Entisoles,Fluvents,Ustifluvents,Typic Ustifluvents,INIA,829 VEN 1965 YA 16,829,284,-68.75544587420,10.29220967570
560,560,839,839 VEN 1965 YA 26,II,Entisoles,Orthents,Ustorthents,Typic Ustorthents,INIA,839 VEN 1965 YA 26,839,285,-68.69488666490,10.31991635440
561,561,832,832 VEN 1965 YA 19,IV,Vertisoles,Usterts,Haplusterts,Typic Haplusters,INIA,832 VEN 1965 YA 19,832,286,-68.63874069090,10.34247318230
562,562,836,836 VEN 1965 YA 23,V,Alfisoles,Ustalfs,Haplustalfs,Ultic Haplustalfs,INIA,836 VEN 1965 YA 23,836,287,-68.65663939890,10.37802381920
563,563,835,835 VEN 1962 YA 22,III,Entisoles,Fluvents,Ustifluvents,Typic Ustifluvents,INIA,835 VEN 1962 YA 22,835,288,-68.66718233980,10.38758602740
564,564,838,838 VEN 1962 YA 25,III,Entisoles,Psamments,Ustipsamments,Typic Ustipsamments,INIA,838 VEN 1962 YA 25,838,289,-68.67355695650,10.38537860360
565,565,845,845 VEN 1962 YA 32,IV,Entisoles,Psamments,Ustipsamments,Typic Ustipsamments,INIA,845 VEN 1962 YA 32,845,290,-68.65614960380,10.41553609180
566,566,58,58 VEN 1960 YA 01,,Sin_informa,,,,INIA,58 VEN 1960 YA 01,58,291,-68.90334296690,10.14868650090
567,567,837,837 VEN 1965 YA 24,II,Entisoles,Fluvents,Ustifluvents,Typic Ustifluvents,INIA,837 VEN 1965 YA 24,837,292,-68.88557187560,10.14510672730
570,570,828,828 VEN 1965 YA 15,VI,Mollisoles,Ustolls,Argiustolls,Udic Arqiustolls,INIA,828 VEN 1965 YA 15,828,293,-68.71589379300,10.34851307130
572,572,,,,,,CAMBORTHIDS,,SOTER,VE_FA062,VE_FA062,294,-69.89196157370,11.97683259830
573,573,,,,,,NATRARGIDS,,SOTER,VE_ZUL300,VE_ZUL300,295,-71.96201279930,11.60681457090
574,574,,,,,,USTORTHENTS,,SOTER,VE_FAC104,VE_FAC104,296,-69.50194646930,11.36682948880
575,575,,,,,,HAPLUSTERTS,,SOTER,VE_ZUL299,VE_ZUL299,297,-71.96201074260,11.34681124400
576,576,,,,,,CAMBORTHIDS,,SOTER,VE_FA063,VE_FA063,298,-69.11193579580,11.33683213640
577,577,,,,,,HAPLUSTERTS,,SOTER,VE_FAV090,VE_FAV090,299,-69.00193204180,11.24683189090
578,578,,,,,,TORRIORTHENT,,SOTER,VE_ZUL303,VE_ZUL303,300,-70.86198001180,11.02681603010
579,579,,,,,,HAPLUSTALFS,,SOTER,VE_FAC079,VE_FAC079,301,-68.33190994960,10.75683237090
580,580,,,,,,HAPLARGIDS,,SOTER,VE_ZUA040,VE_ZUA040,302,-71.08198367670,10.70681147810
581,581,,,,,,TORRIORTHENTS,,SOTER,VE_SU60/11,VE_SU60/11,303,-63.25176505390,10.66687455010
582,582,,,,,,USTROPEPTS,,SOTER,VE_FA26,VE_FA26,304,-70.63197115430,10.62681333890
583,583,,,,,,PALEUSTULTS,,SOTER,VE_ZUM161,VE_ZUM161,305,-66.40185520470,10.61684598020
584,584,,,,,,DYSTROPEPTS,,SOTER,VE_ZUM153,VE_ZUM153,306,-66.51185829670,10.61684469200
585,585,,,,,,KANHAPLUDULTS,,SOTER,VE_SU59/13,VE_SU59/13,307,-62.50174196810,10.57688051910
586,586,,,,,,HAPLARGIDS,,SOTER,VE_SU60/12,VE_SU60/12,308,-63.30176573940,10.57687326050
587,587,,,,,,USTROPEPTS,,SOTER,VE_ZUL306,VE_ZUL306,309,-72.16201055230,10.51680238290
588,588,,,,,,HAPLARGIDS,,SOTER,VE_ZUA057,VE_ZUA057,310,-71.69199780310,10.45680453540
589,589,,,,,,TORRIORTHENT,,SOTER,VE_LA08189,VE_LA08189,311,-70.34196218470,10.45681453740
590,590,,,,,,TROPAQUEPTS,,SOTER,VE_SU60/13,VE_SU60/13,312,-63.50177020020,10.41686957650
591,591,,,,,,USTROPEPTS,,SOTER,VE_MI42/11,VE_MI42/11,313,-66.08184444330,10.41684669600
592,592,,,,,,TypicTropohumult,,SOTER,VE_W3_0042,VE_W3_0042,314,-67.67218861440,10.36073263030
593,593,,,,,,HumoxicTropohumult,,SOTER,VE_W3_0043,VE_W3_0043,315,-67.67218861440,10.36073263030
594,594,,,,,,TypicTropohumult,,SOTER,VE_W3_0053,VE_W3_0053,316,-67.58608620920,10.35963367800
595,595,,,,,,TypicTropudult,,SOTER,VE_W3_0040,VE_W3_0040,317,-67.68518889070,10.34963264060
596,596,,,,,,TypicTropohumult,,SOTER,VE_W3_0041,VE_W3_0041,318,-67.68518889070,10.34963264060
597,597,,,,,,USTROPEPTS,,SOTER,VE_YA051TY,VE_YA051TY,319,-68.63191501780,10.34682569360
598,598,,,,,,TROPAQUEPTS,,SOTER,VE_YA05017,VE_YA05017,320,-68.35190730530,10.34682748100
599,599,,,,,,TypicDystropept,,SOTER,VE_W3_0044,VE_W3_0044,321,-67.68998897520,10.34493239590
600,600,,,,,,TypicTropohumult,,SOTER,VE_W3_0046,VE_W3_0046,322,-67.68998897520,10.34493239590
601,601,,,,,,DYSTROPEPTS,,SOTER,VE_SU59/11,VE_SU59/11,323,-63.50176924550,10.32686811650
602,602,,,,,,TypicHaplustult,,SOTER,VE_W3_0052,VE_W3_0052,324,-67.65378789980,10.33653283360
603,603,,,,,,USTORTHENTS,,SOTER,VE_MI41/11,VE_MI41/11,325,-66.62185894760,10.32684104050
604,604,,,,,,PALEUSTALFS,,SOTER,VE_ZUA055,VE_ZUA055,326,-66.20184697450,10.31684387230
605,605,,,,,,DYSTROPEPTS,,SOTER,VE_AR39/11,VE_AR39/11,327,-68.18190232070,10.30682790320
606,606,,,,,,DYSTROPEPTS,,SOTER,VE_GU43/12,VE_GU43/12,328,-68.18190232070,10.30682790320
607,607,,,,,,FLUVENTICUSTROPEPTS,,SOTER,VE_W3_0084,VE_W3_0084,329,-67.61858647790,10.28013290610
608,608,,,,,,HAPLUSTOLLS,,SOTER,VE_CA40/11,VE_CA40/11,330,-67.39188012740,10.27683371120
609,609,,,,,,CAMBORTHIDS,,SOTER,VE_LA07002,VE_LA07002,331,-70.27195872360,10.25681262900
610,610,,,,,,CAMBORTHIDS,,SOTER,VE_LA08031,VE_LA08031,332,-69.40193534770,10.25681830160
611,611,,,,,,TROPORTHENTS,,SOTER,VE_SU59/12,VE_SU59/12,333,-64.33179276990,10.24686016730
612,612,,,,,,PALEUSTALFS,,SOTER,VE_ZUC069,VE_ZUC069,334,-64.40179469510,10.24685946190
613,613,,,,,,PALEUSTALFS,,SOTER,VE_ZUA053,VE_ZUA053,335,-66.05184183120,10.20684464260
614,614,,,,,,KANDICPALEUSTALFS,,SOTER,VE_W3_0083,VE_W3_0083,336,-69.11862615360,10.06351862600
615,615,,,,,,EUTROPEPTS,,SOTER,VE_AN57/12,VE_AN57/12,337,-65.17263271730,10.03744884070
616,616,,,,,,DYSTROPEPTS,,SOTER,VE_TR02000288,VE_TR02000288,338,-70.64196722430,10.03680790290
617,617,,,,,,KANHAPLUSTULTS,,SOTER,VE_MO63/12,VE_MO63/12,339,-63.24175843060,9.99686675626
618,618,,,,,,HAPLUSTALFS,,SOTER,VE_AN56/12,VE_AN56/12,340,-64.25178811660,9.98685774510
619,619,,,,,,SULFIHEMIST,,SOTER,VE_DA68/12,VE_DA68/12,341,-62.25172883290,9.96687569056
620,620,,,,,,SULFAQUENTS,,SOTER,VE_SU61/11,VE_SU61/11,342,-62.25172883290,9.96687569056
621,621,,,,,,HAPLUSTALFS,,SOTER,VE_AN55/12,VE_AN55/12,343,-65.17181465190,9.98684990278
622,622,,,,,,FLUVAQUENTS,,SOTER,VE_DA67/11,VE_DA67/11,344,-62.42173397980,9.96687358169
623,623,,,,,,FLUVAQUENTS,,SOTER,VE_DA68/11,VE_DA68/11,345,-62.42173397980,9.96687358169
624,624,,,,,,SULFIHEMISTS,,SOTER,VE_SU61/12,VE_SU61/12,346,-62.50173650000,9.96687292283
625,625,,,,,,USTROPEPTS,,SOTER,VE_AN58/12,VE_AN58/12,347,-65.19181519010,9.97684861904
